Kab/Kota,Tahun,Bulan,Beras Premium,Beras Medium,Beras SPHP,Kedelai Biji Kering (Impor),Bawang Merah,Bawang Putih Bonggol,Cabai Merah Keriting,Daging Sapi Murni,Cabai Rawit Merah,Daging Ayam Ras,Telur Ayam Ras,Gula Konsumsi,Minyak Goreng Kemasan,Minyak Goreng Curah,Tepung Terigu (Curah),Tepung Terigu Kemasan,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Garam Konsumsi,Bulan_num,Periode,SPHP_covered,bulan_num
Kab. Aceh Barat,2024,Januari,14655.0,12811.0,13100.0,17226.0,38386.0,41636.0,38523.0,148182.0,45000.0,28845.0,26284.0,18000.0,18682.0,14114.0,10727.0,14977.0,58636.0,25568.0,35238.0,11409.0,1,2024-01-01,True,1
Kab. Aceh Barat,2024,Februari,14658.0,13233.0,13100.0,16000.0,37140.0,41702.0,61386.0,145965.0,47500.0,29215.0,28631.0,18123.0,19509.0,14772.0,10000.0,15000.0,62583.875,30805.0,39074.0,12684.0,2,2024-02-01,True,2
Kab. Aceh Barat,2024,Maret,14631.0,13250.0,13100.0,15400.0,38724.0,42421.0,60879.0,150893.0,50357.0,30931.0,27422.0,18448.0,20207.0,15052.0,10586.0,14828.0,60273.0,31983.0,40404.0,13466.0,3,2024-03-01,True,3
Kab. Aceh Barat,2024,April,14670.0,13104.0,13100.0,15000.0,55768.0,42875.0,51054.0,150714.0,54167.0,29952.0,26598.0,18589.0,20500.0,15536.0,10179.0,15000.0,57750.0,31679.0,37255.0,13339.0,4,2024-04-01,True,4
Kab. Aceh Barat,2024,Mei,14800.0,13540.0,13100.0,11481.0,56550.0,43217.0,57982.0,149667.0,56333.0,27291.0,26892.0,18967.0,20100.0,15333.0,10000.0,14917.0,53828.0,24833.0,37627.0,13500.0,5,2024-05-01,True,5
Kab. Aceh Barat,2024,Juni,14740.0,13543.0,13100.0,11200.0,50893.0,42304.0,61286.0,151923.0,55714.0,27073.0,26179.0,18661.0,20000.0,15000.0,10250.0,14911.0,58800.0,25891.0,35528.0,13107.0,6,2024-06-01,True,6
Kab. Aceh Barat,2024,Juli,14827.0,13585.0,13100.0,11260.0,38508.0,41656.0,43869.0,150000.0,45000.0,24661.0,25541.0,18508.0,20000.0,15066.0,10000.0,15000.0,57207.0,27950.0,38883.0,13705.0,7,2024-07-01,True,7
Kab. Aceh Barat,2024,Agustus,14457.0,13360.0,13100.0,10503.0,28000.0,40823.0,46549.0,149355.0,58000.0,24936.0,25282.0,18210.0,19210.0,15387.0,10000.0,14919.0,61639.0,29548.0,36742.0,14661.0,8,2024-08-01,True,8
Kab. Aceh Barat,2024,September,14800.0,13628.0,12990.0,10093.0,29200.0,40550.0,32900.0,149167.0,49000.0,28575.0,25333.0,17950.0,18483.0,16067.0,10067.0,15000.0,61228.0,26992.0,35814.0,14850.0,9,2024-09-01,True,9
Kab. Aceh Barat,2024,Oktober,14667.0,13500.0,12935.0,10000.0,34387.0,40484.0,27323.0,146290.0,40000.0,30810.0,24766.0,18000.0,18387.0,16532.0,10000.0,15000.0,60117.0,25319.0,34944.0,14500.0,10,2024-10-01,True,10
Kab. Aceh Barat,2024,November,14433.0,13605.0,13000.0,10000.0,38367.0,42033.0,24983.0,147797.0,35000.0,29029.0,24975.0,18000.0,17817.0,17233.0,9983.0,15000.0,47694.0,25018.0,34640.0,14500.0,11,2024-11-01,True,11
Kab. Aceh Barat,2024,Desember,14418.0,13674.0,13000.0,10000.0,39396.0,43063.0,27750.0,149787.0,45000.0,28206.0,27313.0,18063.0,17938.0,17833.0,10042.0,15000.0,49367.0,26380.0,36864.0,14604.0,12,2024-12-01,True,12
Kab. Aceh Barat,2025,Januari,14500.0,13505.0,12836.0,10000.0,45058.0,43735.0,60703.0,147724.0,50673.0,28213.0,29024.0,18580.0,22435.0,17960.0,9993.0,14664.0,54504.0,30071.0,36081.0,14705.0,1,2025-01-01,True,1
Kab. Aceh Barat,2025,Februari,14508.0,13517.0,12557.0,10000.0,40187.0,43645.0,61531.0,153267.0,56346.0,27945.0,28113.0,19071.0,22692.0,18018.0,9858.0,14590.0,51900.0,31816.0,35580.0,14462.0,2,2025-02-01,True,2
Kab. Aceh Barat,2025,Maret,14487.0,13551.0,12600.0,10000.0,36380.0,43939.0,47276.0,152381.0,62019.0,29029.0,28225.0,19437.0,22719.0,18089.0,9946.0,14512.0,55833.0,32000.0,38108.0,14461.0,3,2025-03-01,True,3
Kab. Aceh Barat,2025,April,14633.0,13971.0,12695.0,10000.0,47461.0,48714.0,62539.0,144805.0,67692.0,28349.0,27932.0,19864.0,22597.0,17987.0,10156.0,14948.0,45840.0,32984.0,36020.0,15026.0,4,2025-04-01,True,4
Kab. Aceh Barat,2025,Mei,14829.0,14062.0,12880.0,10000.0,43941.0,46016.0,43849.0,143750.0,47742.0,29398.0,27781.0,19817.0,22527.0,17699.0,10167.0,14946.0,47214.0,36852.0,35405.0,14930.0,5,2025-05-01,True,5
Kab. Aceh Barat,2025,Juni,15201.0,13885.0,12640.0,10000.0,42325.0,43939.0,34926.0,142157.0,41714.0,29063.0,27822.0,19305.0,22613.0,17331.0,10000.0,14847.0,49595.0,35463.0,40699.0,14834.0,6,2025-06-01,True,6
Kab. Aceh Barat,2025,Juli,16073.0,14387.0,12400.0,10000.0,48045.0,44140.0,33376.0,143878.0,47097.0,27319.0,28983.0,19285.0,22672.0,17398.0,10140.0,15000.0,51049.0,35993.0,38687.0,14866.0,7,2025-07-01,True,7
Kab. Aceh Barat,2025,Agustus,16334.0,14315.0,12843.0,10000.0,59456.0,43160.0,45006.0,143832.0,51452.0,29891.0,30308.0,18591.0,22657.0,17591.0,10193.0,15000.0,51875.0,36977.0,40729.0,14829.0,8,2025-08-01,True,8
